Province,Electors/Électeurs 2019,Electors/Électeurs 2015,Electors/Électeurs 2011,Electors/Électeurs 2008,Total Ballots Cast/Total des bulletins déposés 2019,Total Ballots Cast/Total des bulletins déposés 2015,Total Ballots Cast/Total des bulletins déposés 2011,Total Ballots Cast/Total des bulletins déposés 2008,Percentage of Voter Turnout/Pourcentage de la participation électorale 2019,Percentage of Voter Turnout/Pourcentage de la participation électorale 2015,Percentage of Voter Turnout/Pourcentage de la participation électorale 2011,Percentage of Voter Turnout/Pourcentage de la participation électorale 2008
"Newfoundland & Labrador",420067,421038,414779,410411,246889,257389,218166,195669,58.8,61.1,52.6,47.7
"Prince Edward Island",116721,113505,108456,108211,86362,87868,79511,74636,74,77.4,73.3,69
"Nova Scotia",771411,742931,733094,727875,538738,526069,454266,438551,69.8,70.8,62,60.3
"New Brunswick",616704,597542,592818,590984,444356,444459,392208,371586,72.1,74.4,66.2,62.9
"Quebec",6482847,6393478,6130307,5954763,4360030,4303758,3853120,3671728,67.3,67.3,62.9,61.7
"Ontario",10484419,9691517,9033266,8834987,6947807,6572378,5556608,5177150,66.3,67.8,61.5,58.6
"Manitoba",927347,887983,831041,835401,595998,603240,493340,468743,64.3,67.9,59.4,56.1
"Saskatchewan",807984,779405,723814,715291,586536,553792,456501,419600,72.6,71.1,63.1,58.7
"Alberta",3023980,2842504,2509390,2433695,2093981,1937228,1400674,1274992,69.2,68.2,55.8,52.4
"British Columbia",3641258,3392598,3109917,2996864,2402554,2374317,1879304,1799892,66,70,60.4,60.1
"Yukon",29591,26879,24341,23281,21150,20385,16124,14721,71.5,75.8,66.2,63.2
"Northwest Territories",30704,30110,29020,28787,16416,19077,15655,13733,53.5,63.4,53.9,47.7
"Nunavut",20025,20252,17349,17089,9542,12023,7931,8092,47.7,59.4,45.7,47.4
