Political affiliation/Appartenance politique,0-9.9,10-19.9,20-29.9,30-39.9,40 or more/40 et plus,Total
"Animal Protection Party of Canada",17,0,0,0,0,17
"Bloc Québécois",6,9,20,19,24,78
"Canada's Fourth Front",7,0,0,0,0,7
"Canadian Nationalist Party",3,0,0,0,0,3
"Christian Heritage Party of Canada",51,0,0,0,0,51
"Communist Party of Canada",30,0,0,0,0,30
"Conservative Party of Canada",32,59,68,69,110,338
"Green Party of Canada",289,37,9,2,1,338
"Liberal Party of Canada",20,51,67,76,124,338
"Libertarian Party of Canada",24,0,0,0,0,24
"Marijuana Party",4,0,0,0,0,4
"Marxist-Leninist Party of Canada",50,0,0,0,0,50
"National Citizens Alliance of Canada",4,0,0,0,0,4
"New Democratic Party",103,149,50,17,19,338
"Parti pour l'Indépendance du Québec",13,0,0,0,0,13
"Parti Rhinocéros Party",39,0,0,0,0,39
"People's Party of Canada",314,0,1,0,0,315
"Progressive Canadian Party",3,0,0,0,0,3
"Stop Climate Change",2,0,0,0,0,2
"The United Party of Canada",4,0,0,0,0,4
"Veterans Coalition Party of Canada",25,0,0,0,0,25
"Independent",116,1,1,1,0,119
"No Affiliation",6,0,0,0,0,6
